id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
ul,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Rechtswesen,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
kl,Karl Schlögel,,Geschichtswissenschaft,Deutschland
lm,Ljudmyla Melnyk,,Politikwissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorfff,FDP,Politik ,Deutschland
er,Egon Ramms,,Militär,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,,,,
501,,,,
502,,,,
503,,,,